Sentence,Word,Word Sequence,Hash
"A single snowflake landed on the dragon’s nose, making it sneeze flames.",it,"[9, 20]",d83805ac2f2452ebf3f17a76c89571de
"A single snowflake landed on the dragon’s nose, making it sneeze flames.",sneeze,"[19, 14, 5, 5, 26, 5]",07d6d66687e276c5680a80c447515455
"A single snowflake landed on the dragon’s nose, making it sneeze flames.",flames.,"[6, 12, 1, 13, 5, 19]",99eefba527ccc149dd7a47136ec5c02c
"The library was silent, except for the faint sound of books whispering to each other.",the,"[20, 8, 5]",77c61de7c383ab6db7be8d689bfbe7c7
"The library was silent, except for the faint sound of books whispering to each other.",library,"[12, 9, 2, 18, 1, 18, 25]",9178df0107e64b9f4aecd145036f8c4d
"The library was silent, except for the faint sound of books whispering to each other.",was,"[23, 1, 19]",da041fee55980aa1852b6399a32e7231
"The library was silent, except for the faint sound of books whispering to each other.","silent,","[19, 9, 12, 5, 14, 20]",b67f4fa36909a208781cbbd413b1724e
"The library was silent, except for the faint sound of books whispering to each other.",except,"[5, 24, 3, 5, 16, 20]",91dde8364f5ae45de537687984f155c5
"The library was silent, except for the faint sound of books whispering to each other.",for,"[6, 15, 18]",edda0b599d6407e6f939073c09b5a7c5
"The library was silent, except for the faint sound of books whispering to each other.",faint,"[6, 1, 9, 14, 20]",1212c36c471768c0ae072a484d8105c7
"The library was silent, except for the faint sound of books whispering to each other.",sound,"[19, 15, 21, 14, 4]",688a413c09069396245d6d5e9bb4dc08
"The library was silent, except for the faint sound of books whispering to each other.",of,"[15, 6]",bb548305d15c3a2a16c310e51a1da878
"The library was silent, except for the faint sound of books whispering to each other.",books,"[2, 15, 15, 11, 19]",3a8697a91188eab92383cc7846c5700a
"The library was silent, except for the faint sound of books whispering to each other.",whispering,"[23, 8, 9, 19, 16, 5, 18, 9, 14, 7]",b3830c61b464c4a2c48539d34c4fb504
"The library was silent, except for the faint sound of books whispering to each other.",to,"[20, 15]",c270e031ca75d07a606c0443375f5848
"The library was silent, except for the faint sound of books whispering to each other.",each,"[5, 1, 3, 8]",886e575c852405db566284987450e35c
"The library was silent, except for the faint sound of books whispering to each other.",other.,"[15, 20, 8, 5, 18]",057e2036b8e0288f15bfd84f189b18a1
"A train thundered past, carrying passengers who seemed to flicker like old film.",a,[1],c4ca4238a0b923820dcc509a6f75849b
"A train thundered past, carrying passengers who seemed to flicker like old film.",train,"[20, 18, 1, 9, 14]",454db5b11e7941045d89319e536dc8bb
"A train thundered past, carrying passengers who seemed to flicker like old film.",thundered,"[20, 8, 21, 14, 4, 5, 18, 5, 4]",03d34929a3d18e6fba4b52ca22341326
"A train thundered past, carrying passengers who seemed to flicker like old film.","past,","[16, 1, 19, 20]",b1c2fdc66655dc3d8e52818ffd9cd0dd
"A train thundered past, carrying passengers who seemed to flicker like old film.",carrying,"[3, 1, 18, 18, 25, 9, 14, 7]",8dc90531bc717a34ca2befb88b148eca
"A train thundered past, carrying passengers who seemed to flicker like old film.",passengers,"[16, 1, 19, 19, 5, 14, 7, 5, 18, 19]",990bd5081cea2be29eb64aab4c76bf4c
"A train thundered past, carrying passengers who seemed to flicker like old film.",who,"[23, 8, 15]",9826bdda99a01fbd7d920f99261a39d0
"A train thundered past, carrying passengers who seemed to flicker like old film.",seemed,"[19, 5, 5, 13, 5, 4]",07f3b4e17b7916ca9b977130565c6a2a
"A train thundered past, carrying passengers who seemed to flicker like old film.",to,"[20, 15]",c270e031ca75d07a606c0443375f5848
"A train thundered past, carrying passengers who seemed to flicker like old film.",flicker,"[6, 12, 9, 3, 11, 5, 18]",cb083aea83dbf371dfea0583e1ea66e3
"A train thundered past, carrying passengers who seemed to flicker like old film.",like,"[12, 9, 11, 5]",a825154e572f3141e03ac237786a7d9a
"A train thundered past, carrying passengers who seemed to flicker like old film.",old,"[15, 12, 4]",fd5d05d249c43115f2e53abe61ccb452
"A train thundered past, carrying passengers who seemed to flicker like old film.",film.,"[6, 9, 12, 13]",564a1cff11cf6bd017f3d1debdddbb46
"The attic creaked, but the rocking chair rocked on its own.",the,"[20, 8, 5]",77c61de7c383ab6db7be8d689bfbe7c7
"The attic creaked, but the rocking chair rocked on its own.",attic,"[1, 20, 20, 9, 3]",906fc9be20c4a062773b2e727c7c640d
"The attic creaked, but the rocking chair rocked on its own.","creaked,","[3, 18, 5, 1, 11, 5, 4]",d3490a9189d729868e0728de62a6c674
"The attic creaked, but the rocking chair rocked on its own.",but,"[2, 21, 20]",807988f118aee53cf151440c5261f4b4
"The attic creaked, but the rocking chair rocked on its own.",rocking,"[18, 15, 3, 11, 9, 14, 7]",79d389838a279530b41b0e1b1487faae
"The attic creaked, but the rocking chair rocked on its own.",chair,"[3, 8, 1, 9, 18]",e0325dde0810a8b73a00856c3a915e7f
"The attic creaked, but the rocking chair rocked on its own.",rocked,"[18, 15, 3, 11, 5, 4]",e8756cab49a2e0c9a92668de5b4aafc7
"The attic creaked, but the rocking chair rocked on its own.",on,"[15, 14]",5b067beb3fb3130e2800979af7769d5f
"The attic creaked, but the rocking chair rocked on its own.",its,"[9, 20, 19]",52d9b0c30aad1c0331dbc44bb37d3b97
"The attic creaked, but the rocking chair rocked on its own.",own.,"[15, 23, 14]",ad6c0892099ccfe111dd41881bf56e25
A paper airplane soared into the sky and never came back down.,a,[1],c4ca4238a0b923820dcc509a6f75849b
A paper airplane soared into the sky and never came back down.,paper,"[16, 1, 16, 5, 18]",a471e67bb6e1681033cbf28e6b406c3a
A paper airplane soared into the sky and never came back down.,airplane,"[1, 9, 18, 16, 12, 1, 14, 5]",4c1db065f3ddebea11dc351591a8cd81
A paper airplane soared into the sky and never came back down.,soared,"[19, 15, 1, 18, 5, 4]",283c60ea121ae93ab9c69ab279c2f7f8
A paper airplane soared into the sky and never came back down.,into,"[9, 14, 20, 15]",a6a358a07ea01f3446d29f1c16408087
A paper airplane soared into the sky and never came back down.,the,"[20, 8, 5]",77c61de7c383ab6db7be8d689bfbe7c7
A paper airplane soared into the sky and never came back down.,sky,"[19, 11, 25]",37e1c18ce0ed8df9271c24ab85593e52
A paper airplane soared into the sky and never came back down.,and,"[1, 14, 4]",941895025925d952274589a70ecc888a
A paper airplane soared into the sky and never came back down.,never,"[14, 5, 22, 5, 18]",1840fb3f7b4da1965aa75727c5b0c5cb
A paper airplane soared into the sky and never came back down.,came,"[3, 1, 13, 5]",3518e60331ce59c7d59558d77b1c0824
A paper airplane soared into the sky and never came back down.,back,"[2, 1, 3, 11]",4ae7d7bcad7533f25ba0f1010021f633
A paper airplane soared into the sky and never came back down.,down.,"[4, 15, 23, 14]",307e090427e617496d267a14918ef14f
The moon reflected the image of an entirely different planet that night.,the,"[20, 8, 5]",77c61de7c383ab6db7be8d689bfbe7c7
The moon reflected the image of an entirely different planet that night.,moon,"[13, 15, 15, 14]",f5c495d20dc2a7550c2ce354abf9fac7
The moon reflected the image of an entirely different planet that night.,reflected,"[18, 5, 6, 12, 5, 3, 20, 5, 4]",e35e06d6d4765bdc10cbb2e0bbcdc232
The moon reflected the image of an entirely different planet that night.,image,"[9, 13, 1, 7, 5]",6895e65edea2976ca7d68bf75fc6d06b
The moon reflected the image of an entirely different planet that night.,of,"[15, 6]",bb548305d15c3a2a16c310e51a1da878
The moon reflected the image of an entirely different planet that night.,an,"[1, 14]",c96e299b7d0fcbe6c3e5b1d786f6d72d
The moon reflected the image of an entirely different planet that night.,entirely,"[5, 14, 20, 9, 18, 5, 12, 25]",721b1043f5fc872d9fd800d3ab8f48c4
The moon reflected the image of an entirely different planet that night.,different,"[4, 9, 6, 6, 5, 18, 5, 14, 20]",f368226e1730ae4ad28746091ca33ba4
The moon reflected the image of an entirely different planet that night.,planet,"[16, 12, 1, 14, 5, 20]",84f443a14a41c64ac5b43ad9e79b54b0
The moon reflected the image of an entirely different planet that night.,that,"[20, 8, 1, 20]",50e7911357fad58e8f3a30165ab9d112
The moon reflected the image of an entirely different planet that night.,night.,"[14, 9, 7, 8, 20]",e6bb829c80eb4644a98cac750f71a0b3
"An old radio crackled to life, playing a song that had been forgotten for decades.",an,"[1, 14]",c96e299b7d0fcbe6c3e5b1d786f6d72d
"An old radio crackled to life, playing a song that had been forgotten for decades.",old,"[15, 12, 4]",fd5d05d249c43115f2e53abe61ccb452
"An old radio crackled to life, playing a song that had been forgotten for decades.",radio,"[18, 1, 4, 9, 15]",976c083e774d01c6cd67c1737a982239
"An old radio crackled to life, playing a song that had been forgotten for decades.",crackled,"[3, 18, 1, 3, 11, 12, 5, 4]",81c66c135355437275ead2b61fb128aa
"An old radio crackled to life, playing a song that had been forgotten for decades.",to,"[20, 15]",c270e031ca75d07a606c0443375f5848
"An old radio crackled to life, playing a song that had been forgotten for decades.","life,","[12, 9, 6, 5]",a980e164b726adccb2e8f4276f972d38
"An old radio crackled to life, playing a song that had been forgotten for decades.",playing,"[16, 12, 1, 25, 9, 14, 7]",cff51423250ef18d8fdd228bffabe1e5
"An old radio crackled to life, playing a song that had been forgotten for decades.",a,[1],c4ca4238a0b923820dcc509a6f75849b
"An old radio crackled to life, playing a song that had been forgotten for decades.",song,"[19, 15, 14, 7]",17730b8572bc50ca824ca823dd4dc5fb
"An old radio crackled to life, playing a song that had been forgotten for decades.",that,"[20, 8, 1, 20]",50e7911357fad58e8f3a30165ab9d112
"An old radio crackled to life, playing a song that had been forgotten for decades.",had,"[8, 1, 4]",5463bd024e7bf2dfd97d9449118178f5
"An old radio crackled to life, playing a song that had been forgotten for decades.",been,"[2, 5, 5, 14]",b891a4a591e4f8e3568e36fb5c660592
"An old radio crackled to life, playing a song that had been forgotten for decades.",forgotten,"[6, 15, 18, 7, 15, 20, 20, 5, 14]",63abcf086288e925bc734e3e5362302d
"An old radio crackled to life, playing a song that had been forgotten for decades.",for,"[6, 15, 18]",edda0b599d6407e6f939073c09b5a7c5
"An old radio crackled to life, playing a song that had been forgotten for decades.",decades.,"[4, 5, 3, 1, 4, 5, 19]",15b18e23259ec8d6dc0e79da8d1eb181
"The campfire sparked, and the flames danced in the shape of wolves.",the,"[20, 8, 5]",77c61de7c383ab6db7be8d689bfbe7c7
"The campfire sparked, and the flames danced in the shape of wolves.",campfire,"[3, 1, 13, 16, 6, 9, 18, 5]",2e9407d5c20169f830b5e3b492e17298
"The campfire sparked, and the flames danced in the shape of wolves.","sparked,","[19, 16, 1, 18, 11, 5, 4]",39140b70671b59bde56d1141db08c8f6
"The campfire sparked, and the flames danced in the shape of wolves.",and,"[1, 14, 4]",941895025925d952274589a70ecc888a
"The campfire sparked, and the flames danced in the shape of wolves.",flames,"[6, 12, 1, 13, 5, 19]",99eefba527ccc149dd7a47136ec5c02c
"The campfire sparked, and the flames danced in the shape of wolves.",danced,"[4, 1, 14, 3, 5, 4]",ea6775c766e4e6a1b982db393bb47bc8
"The campfire sparked, and the flames danced in the shape of wolves.",in,"[9, 14]",dab152e2c53e83fac204643b2f65aeba
"The campfire sparked, and the flames danced in the shape of wolves.",shape,"[19, 8, 1, 16, 5]",0e38a26929e19017ae9a2afcdbccb7ca
"The campfire sparked, and the flames danced in the shape of wolves.",of,"[15, 6]",bb548305d15c3a2a16c310e51a1da878
"The campfire sparked, and the flames danced in the shape of wolves.",wolves.,"[23, 15, 12, 22, 5, 19]",a9ea18d444d22003fb064d902369ea96
"A map appeared on the wall, marking a path that didn’t exist yesterday.",a,[1],c4ca4238a0b923820dcc509a6f75849b
"A map appeared on the wall, marking a path that didn’t exist yesterday.",map,"[13, 1, 16]",aab4f5c9f798063dbfacf3496c9bafad
"A map appeared on the wall, marking a path that didn’t exist yesterday.",appeared,"[1, 16, 16, 5, 1, 18, 5, 4]",51c53edb34ab7c15ff7051c6242518a6
"A map appeared on the wall, marking a path that didn’t exist yesterday.",on,"[15, 14]",5b067beb3fb3130e2800979af7769d5f
"A map appeared on the wall, marking a path that didn’t exist yesterday.",the,"[20, 8, 5]",77c61de7c383ab6db7be8d689bfbe7c7
"A map appeared on the wall, marking a path that didn’t exist yesterday.","wall,","[23, 1, 12, 12]",cb5c506d19225bc695955eefa7c04bc6
"A map appeared on the wall, marking a path that didn’t exist yesterday.",marking,"[13, 1, 18, 11, 9, 14, 7]",2f4dc289ea625bc8284ad30feb9784e6
"A map appeared on the wall, marking a path that didn’t exist yesterday.",path,"[16, 1, 20, 8]",8366cddcad2f6674d4f037f44bdc56b0
"A map appeared on the wall, marking a path that didn’t exist yesterday.",that,"[20, 8, 1, 20]",50e7911357fad58e8f3a30165ab9d112
"A map appeared on the wall, marking a path that didn’t exist yesterday.",didn’t,"[4, 9, 4, 14, 20]",7f00e360e122354914721987ec7a5aed
"A map appeared on the wall, marking a path that didn’t exist yesterday.",exist,"[5, 24, 9, 19, 20]",555883f92811a4fcfa3f8036cad8d1ef
"A map appeared on the wall, marking a path that didn’t exist yesterday.",yesterday.,"[25, 5, 19, 20, 5, 18, 4, 1, 25]",09f69f97375121b6cc91e7cccf69c232
"The mirror showed an empty room, though the boy stood right in front of it.",the,"[20, 8, 5]",77c61de7c383ab6db7be8d689bfbe7c7
"The mirror showed an empty room, though the boy stood right in front of it.",mirror,"[13, 9, 18, 18, 15, 18]",0d077a0f87dc81836aa163560b45eb77
"The mirror showed an empty room, though the boy stood right in front of it.",showed,"[19, 8, 15, 23, 5, 4]",6e99a729d8fd6da01eb4a43745b6ebb1
"The mirror showed an empty room, though the boy stood right in front of it.",an,"[1, 14]",c96e299b7d0fcbe6c3e5b1d786f6d72d
"The mirror showed an empty room, though the boy stood right in front of it.",empty,"[5, 13, 16, 20, 25]",3a96870bdb51efa1d5c29db16fceaf4d
"The mirror showed an empty room, though the boy stood right in front of it.","room,","[18, 15, 15, 13]",562626e9801b34368b582b4e50e09650
"The mirror showed an empty room, though the boy stood right in front of it.",though,"[20, 8, 15, 21, 7, 8]",a7e780769cb4fcdf3624bab1dbee473a
"The mirror showed an empty room, though the boy stood right in front of it.",boy,"[2, 15, 25]",fdad4a80bb28cf1254b3f507c3f14d2c
"The mirror showed an empty room, though the boy stood right in front of it.",stood,"[19, 20, 15, 15, 4]",9063546cff85da838a4d96e6d00a615f
"The mirror showed an empty room, though the boy stood right in front of it.",right,"[18, 9, 7, 8, 20]",f10f1601f3e42b225d3abd3c66796146
"The mirror showed an empty room, though the boy stood right in front of it.",in,"[9, 14]",dab152e2c53e83fac204643b2f65aeba
"The mirror showed an empty room, though the boy stood right in front of it.",front,"[6, 18, 15, 14, 20]",c58b172da452a15d5086f38747cbbea0
"The mirror showed an empty room, though the boy stood right in front of it.",of,"[15, 6]",bb548305d15c3a2a16c310e51a1da878
"The mirror showed an empty room, though the boy stood right in front of it.",it.,"[9, 20]",d83805ac2f2452ebf3f17a76c89571de
A trail of glowing mushrooms lit the way through the dense forest.,a,[1],c4ca4238a0b923820dcc509a6f75849b
A trail of glowing mushrooms lit the way through the dense forest.,trail,"[20, 18, 1, 9, 12]",566f603df92303e4c23e6812ccc1d371
A trail of glowing mushrooms lit the way through the dense forest.,of,"[15, 6]",bb548305d15c3a2a16c310e51a1da878
A trail of glowing mushrooms lit the way through the dense forest.,glowing,"[7, 12, 15, 23, 9, 14, 7]",f89f64d9208201ec14ccf134907f377a
A trail of glowing mushrooms lit the way through the dense forest.,mushrooms,"[13, 21, 19, 8, 18, 15, 15, 13, 19]",eda050a19caae10cb84ebe51d331cdb4
A trail of glowing mushrooms lit the way through the dense forest.,lit,"[12, 9, 20]",7e7f765fa344071df13d78e3ed610669
A trail of glowing mushrooms lit the way through the dense forest.,the,"[20, 8, 5]",77c61de7c383ab6db7be8d689bfbe7c7
A trail of glowing mushrooms lit the way through the dense forest.,way,"[23, 1, 25]",ecc43e826bd5f08aa1b75e766ec18747
A trail of glowing mushrooms lit the way through the dense forest.,through,"[20, 8, 18, 15, 21, 7, 8]",f0b64b646080723dbac097694260a829
A trail of glowing mushrooms lit the way through the dense forest.,dense,"[4, 5, 14, 19, 5]",db18eb4dfe6e48d2ab14dfeb41b9fbfd
A trail of glowing mushrooms lit the way through the dense forest.,forest.,"[6, 15, 18, 5, 19, 20]",835c9213628b2b7678851100c3437112
"The bakery smelled of fresh bread and cinnamon, but no one was inside.",the,"[20, 8, 5]",77c61de7c383ab6db7be8d689bfbe7c7
"The bakery smelled of fresh bread and cinnamon, but no one was inside.",bakery,"[2, 1, 11, 5, 18, 25]",1155713a3c475baed5c149c758085429
"The bakery smelled of fresh bread and cinnamon, but no one was inside.",smelled,"[19, 13, 5, 12, 12, 5, 4]",09a0ae1954d0f8c364f432e185381c7d
"The bakery smelled of fresh bread and cinnamon, but no one was inside.",of,"[15, 6]",bb548305d15c3a2a16c310e51a1da878
"The bakery smelled of fresh bread and cinnamon, but no one was inside.",fresh,"[6, 18, 5, 19, 8]",164faa9982565a2eabe2102db7a5c612
"The bakery smelled of fresh bread and cinnamon, but no one was inside.",bread,"[2, 18, 5, 1, 4]",59963da00ebbe90bc56cb1a30e65328b
"The bakery smelled of fresh bread and cinnamon, but no one was inside.",and,"[1, 14, 4]",941895025925d952274589a70ecc888a
"The bakery smelled of fresh bread and cinnamon, but no one was inside.","cinnamon,","[3, 9, 14, 14, 1, 13, 15, 14]",4a9728276a89609050b79823362ef38d
"The bakery smelled of fresh bread and cinnamon, but no one was inside.",but,"[2, 21, 20]",807988f118aee53cf151440c5261f4b4
"The bakery smelled of fresh bread and cinnamon, but no one was inside.",no,"[14, 15]",f2b1506c9626396ee4ae0a5bef759d52
"The bakery smelled of fresh bread and cinnamon, but no one was inside.",one,"[15, 14, 5]",bb779d51c9d6afc7bffaa6eafe3a790e
"The bakery smelled of fresh bread and cinnamon, but no one was inside.",was,"[23, 1, 19]",da041fee55980aa1852b6399a32e7231
"The bakery smelled of fresh bread and cinnamon, but no one was inside.",inside.,"[9, 14, 19, 9, 4, 5]",b4f3a21bf5268eca56670cbfc0bbfb92
"A meteor fell to Earth, bouncing harmlessly like a beach ball.",a,[1],c4ca4238a0b923820dcc509a6f75849b
"A meteor fell to Earth, bouncing harmlessly like a beach ball.",meteor,"[13, 5, 20, 5, 15, 18]",64080315eb140ecb6bcdf9e78d804048
"A meteor fell to Earth, bouncing harmlessly like a beach ball.",fell,"[6, 5, 12, 12]",d0b72ecbd5dd8c84849c1cf36f51d8a6
